,id,listing_url,name,host_name,host_location,host_is_superhost,host_neighborhood,host_has_profile_pic,street,neighborhood,city,suburb,state,zipcode,smart_location,country_code,country,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,bed_type,price,weekly_price,monthly_price,security_deposit,guests_included,extra_people,minimum_nights,maximum_nights,avg_rainfall
1,10803,https://www.airbnb.com/rooms/10803,Room in Cool Deco Apartment in Brunswick,Lindsay,"Melbourne, Victoria, Australia",f,Brunswick,t,"Brunswick East, VIC, Australia",Brunswick,Moreland,Brunswick East,VIC,3057,"Brunswick East, Australia",AU,Australia,-37.76650512,144.9807361,Apartment,Private room,2,1,1,1,Futon,35,200,803,0,1,15,3,45,493
2,12936,https://www.airbnb.com/rooms/12936,St Kilda 1BR APT+BEACHSIDE+VIEWS+PARKING+WIFI+AC,Frank & Vince,"Melbourne, Victoria, Australia",t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.85975502,144.9773691,Apartment,Entire home/apt,3,1,1,2,Real Bed,159,1253,4452,450,2,28,3,28,641
11,50492,https://www.airbnb.com/rooms/50492,St Kilda Central LUXE 2BR APT+TWO COURTYARDS+WIFI,Frank & Vince,"Melbourne, Victoria, Australia",t,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86127469,144.9803786,Apartment,Entire home/apt,4,1,2,2,Real Bed,190,1743,5572,500,1,0,3,28,649
12,51592,https://www.airbnb.com/rooms/51592,Central City Warehouse Apartment,Michelle,"Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81485579,144.9626716,Loft,Entire home/apt,4,1.5,1,2,Real Bed,228,1575,5100,250,2,40,2,90,484
18,68036,https://www.airbnb.com/rooms/68036,Classic Fitzroy Terrace (w/ cat) - walk to Tennis,Andre,"Melbourne, Victoria, Australia",f,,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80311551,144.9766031,House,Entire home/apt,2,1.5,1,1,Real Bed,161,,,,1,0,5,9,447
25,72576,https://www.airbnb.com/rooms/72576,"Stunning Fitzroy, own level + bathroom.  No Ikea!",Ramona,"Fitzroy, Victoria, Australia",t,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80688626,144.9794551,House,Private room,2,1,1,1,Real Bed,120,,,0,1,10,3,31,373
26,74324,https://www.airbnb.com/rooms/74324,Tamerlane: Architect-designed luxury living,Matt,"Melbourne, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80275304,144.9761608,Townhouse,Entire home/apt,5,1,2,2,Real Bed,228,2437,8648,5503,1,24,30,300,541
27,74548,https://www.airbnb.com/rooms/74548,City Location-Perfect for Singles,Mario,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.8155017,144.9589368,Apartment,Private room,1,2,1,1,Real Bed,64,,,0,1,0,2,30,533
34,108032,https://www.airbnb.com/rooms/108032,Studio apartment on Collins Street,Malcolm,"Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81639168,144.9665197,Apartment,Entire home/apt,2,1,1,1,Real Bed,140,,,300,2,50,2,16,228
40,144236,https://www.airbnb.com/rooms/144236,"Lux Apartment, Australian Open",Peter,"Melbourne, Victoria, Australia",f,South Yarra,t,"Melbourne, VIC, Australia",South Yarra,Melbourne,Melbourne,VIC,3004,"Melbourne, Australia",AU,Australia,-37.84499108,144.9792884,Apartment,Private room,2,,1,1,Real Bed,245,1470,4900,550,1,45,2,730,450
41,150729,https://www.airbnb.com/rooms/150729,"Fabulous Fitzroy, gorgeous Gertrude St.   No Ikea!",Ramona,"Fitzroy, Victoria, Australia",t,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80508446,144.9794238,House,Private room,2,1,1,1,Real Bed,90,,,0,1,10,3,31,519
53,189434,https://www.airbnb.com/rooms/189434,PositionPerfect Carlton Paris Style,Danielle & Ruth,"Melbourne, Victoria, Australia",t,Richmond,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.79870029,144.9667125,Condominium,Entire home/apt,3,1,1,2,Real Bed,161,1030,3400,250,2,15,3,90,495
55,213348,https://www.airbnb.com/rooms/213348,Large room in quiet Victorian home,Adrian,"Melbourne, Victoria, Australia",f,,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.85874202,144.9863331,House,Private room,1,1,1,1,Real Bed,71,500,1200,,1,30,3,760,245
58,227028,https://www.airbnb.com/rooms/227028,Flinders Lane Architect Loft Style Apartment,Dan,Australia,f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81571435,144.9674823,Apartment,Entire home/apt,3,1,2,2,Real Bed,220,1400,3862,150,2,25,2,1125,485
59,227964,https://www.airbnb.com/rooms/227964,Bohemian Bungalow in Brunswick,Julie,"Melbourne, Victoria, Australia",f,,t,"Melbourne, VIC, Australia",Brunswick,Moreland,Melbourne,VIC,3056,"Melbourne, Australia",AU,Australia,-37.76957226,144.9704836,Bed and breakfast,Private room,1,1,1,1,Real Bed,90,550,2320,100,1,0,7,60,284
68,244952,https://www.airbnb.com/rooms/244952,Treehouse apartment in Fitzroy,Rebecca,"Melbourne, Victoria, Australia",t,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80403059,144.9790829,Apartment,Entire home/apt,3,1,1,1,Real Bed,125,900,3400,,2,20,1,59,400
78,262020,https://www.airbnb.com/rooms/262020,Deco luxury on Botanic Gardens!!,Jack,"South Yarra, Victoria, Australia",t,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Melbourne,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83275171,144.9860623,Apartment,Entire home/apt,2,1,1,1,Real Bed,161,900,3436,500,2,50,3,365,217
79,263871,https://www.airbnb.com/rooms/263871,In The Heart Of The City- Melbourne,Eliisa,"New York, New York, United States",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81694872,144.962951,Apartment,Entire home/apt,2,1,1,1,Real Bed,125,800,2700,500,2,50,7,365,396
83,268849,https://www.airbnb.com/rooms/268849,"Unique, Intimately Styled South Yarra Sanctuary",Little Journey,Australia,f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83691697,144.9928537,Apartment,Entire home/apt,6,1,1,1,Real Bed,115,1150,3850,150,2,35,1,1120,532
86,283257,https://www.airbnb.com/rooms/283257,sunlit studio down a quiet laneway,Lulu,"Fitzroy, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80440177,144.9821314,House,Entire home/apt,6,2,3,4,Real Bed,140,908,3632,350,2,30,3,59,575
87,284210,https://www.airbnb.com/rooms/284210,Fitzroyalty - luscious living in the heart of it,Kate,"Melbourne, Victoria, Australia",t,Collingwood/Fitzroy,t,"Melbourne, VIC, Australia",Fitzroy,Yarra,Melbourne,VIC,3065,"Melbourne, Australia",AU,Australia,-37.79849702,144.9788285,Apartment,Entire home/apt,2,1,1,1,Real Bed,145,630,2500,250,2,25,4,130,437
93,307615,https://www.airbnb.com/rooms/307615,Queen BR + Private Bathroom in Huge CBD Apartment,Sharyn,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80846796,144.9660613,Townhouse,Private room,2,2.5,1,1,Real Bed,75,550,1800,0,1,20,1,1125,225
94,307630,https://www.airbnb.com/rooms/307630,Queen-bed Room in Huge CBD Warehouse Apartment,Sharyn,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.80815473,144.9662051,Townhouse,Private room,2,2.5,1,1,Real Bed,75,550,1900,,1,25,1,1125,302
102,331605,https://www.airbnb.com/rooms/331605,3 Bedroom Apartment MT111,Dina,"Melbourne, Victoria, Australia",f,South Melbourne,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82348249,144.9617954,Serviced apartment,Entire home/apt,7,2,3,7,Real Bed,357,2400,9000,300,6,50,1,365,695
104,344458,https://www.airbnb.com/rooms/344458,St Kilda Gardens Executive Living,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87161036,144.9844774,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1351,4410,,4,20,3,1125,253
109,363278,https://www.airbnb.com/rooms/363278,Fitzroy: Tiny stone cottage,Alan,"Fitzroy, Victoria, Australia",t,Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80255658,144.9828065,Cottage,Private room,1,1,1,1,Real Bed,71,,,,1,0,1,1125,448
111,366848,https://www.airbnb.com/rooms/366848,Your Own Place in Central Melbourne,Trevor,"Melbourne, Victoria, Australia",f,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81132535,144.9727608,Apartment,Entire home/apt,2,1,1,1,Real Bed,129,750,2900,,2,20,6,1125,634
115,394600,https://www.airbnb.com/rooms/394600,"4/2 Pottery Court Brunswick, Melbourne",Julie,"Brunswick, Victoria, Australia",t,Brunswick,t,"Brunswick, VIC, Australia",Brunswick,Moreland,Brunswick,VIC,3056,"Brunswick, Australia",AU,Australia,-37.76910366,144.9530439,Apartment,Entire home/apt,2,1,1,1,Real Bed,120,735,,,1,0,2,35,636
118,403580,https://www.airbnb.com/rooms/403580,Heritage Listed House Close To Park,Anthony,"Carlton, Victoria, Australia",t,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.7997332,144.9718817,House,Private room,2,1,1,1,Real Bed,86,560,2252,0,1,25,3,90,317
121,411059,https://www.airbnb.com/rooms/411059,Classic and Contemporary Apartment on Collins St,Sunny,"Melbourne, Victoria, Australia",t,Central Business District,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.8164468,144.9605546,Apartment,Entire home/apt,2,1,1,1,Real Bed,132,895,3763,180,2,25,2,21,647
122,414093,https://www.airbnb.com/rooms/414093,Penthouse St Kilda Style,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87052183,144.9796402,Apartment,Entire home/apt,7,2,3,4,Real Bed,246,1967,5931,150,6,20,3,1125,505
123,415776,https://www.airbnb.com/rooms/415776,Expansive City Views POOL SPA GYM!!,Kate,"Melbourne, Victoria, Australia",f,South Yarra,t,"South Yarra, VIC, Australia",South Yarra,Stonnington,South Yarra,VIC,3141,"South Yarra, Australia",AU,Australia,-37.83789697,144.9969566,Apartment,Private room,2,1,1,1,Real Bed,82,500,800,0,1,10,1,60,476
125,432113,https://www.airbnb.com/rooms/432113,Split Level City Centre Apartment + free parking,Marian And Alan,"Marcoola, Queensland, Australia",f,Southbank,t,"Southbank, VIC, Australia",Southbank,Melbourne,Southbank,VIC,3006,"Southbank, Australia",AU,Australia,-37.82690136,144.9680543,Apartment,Entire home/apt,6,2,3,3,Real Bed,150,1300,5300,250,2,20,6,730,536
130,448006,https://www.airbnb.com/rooms/448006,Smart Modern St Kilda,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87147967,144.9845395,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1421,4715,,4,20,3,1125,435
131,448017,https://www.airbnb.com/rooms/448017,Garden Views On Herbert,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87127524,144.9842296,Apartment,Entire home/apt,5,1,2,3,Real Bed,174,1246,4258,,4,20,3,1125,494
132,448041,https://www.airbnb.com/rooms/448041,St Kilda Garden Views,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87133341,144.982704,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1351,4410,,4,20,3,1125,272
136,458168,https://www.airbnb.com/rooms/458168,Smart Modern in St Kilda,Amanda,"South Melbourne, Victoria, Australia",f,St Kilda,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87273774,144.9830598,Apartment,Entire home/apt,5,2,2,3,Real Bed,174,1351,4410,,4,20,3,1125,411
142,467028,https://www.airbnb.com/rooms/467028,Carlton Victoria / own bathroom,Lucy,"Melbourne, Victoria, Australia",f,Carlton,t,"Carlton, VIC, Australia",Carlton,Melbourne,Carlton,VIC,3053,"Carlton, Australia",AU,Australia,-37.80125335,144.9574716,House,Private room,2,1,1,1,Real Bed,96,,2400,150,1,15,2,60,403
150,488819,https://www.airbnb.com/rooms/488819,Brunswick St at your doorstep,Dave,"Melbourne, Victoria, Australia",f,,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80306275,144.9767032,Apartment,Entire home/apt,2,1,1,1,Real Bed,150,999,3900,200,1,0,4,30,354
154,496502,https://www.airbnb.com/rooms/496502,Budget-friendly double room,Airdrie,"Melbourne, Victoria, Australia",f,Brunswick,t,"Coburg, VIC, Australia",Brunswick,Moreland,Coburg,VIC,3058,"Coburg, Australia",AU,Australia,-37.75570943,144.9717271,House,Private room,2,1,1,1,Real Bed,30,240,,0,1,10,2,14,446
155,501143,https://www.airbnb.com/rooms/501143,Beautiful Little House In St. Kilda,Lisa-Marie,"Melbourne, Victoria, Australia",f,,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.86569151,144.9788001,House,Private room,2,1,1,1,Real Bed,120,410,1750,,1,20,2,365,319
163,519819,https://www.airbnb.com/rooms/519819,Funky Paris end of Collins Street apartment,Alan,"Melbourne, Victoria, Australia",f,,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,3000,"Melbourne, Australia",AU,Australia,-37.81456086,144.9740027,Apartment,Entire home/apt,5,1,2,3,Real Bed,168,1176,4180,700,2,25,2,59,374
171,535813,https://www.airbnb.com/rooms/535813,Smart Artz Gallery - Venue Hire,Sharon,"South Melbourne, Victoria, Australia",f,,t,"Melbourne, VIC, Australia",Central Business District,Melbourne,Melbourne,VIC,,"Melbourne, Australia",AU,Australia,-37.81408274,144.9693336,Other,Private room,16,,1,1,Real Bed,1650,,,,1,0,1,1125,295
172,542188,https://www.airbnb.com/rooms/542188,Oberon Stylish Art Deco,Barbara,"Melbourne, Victoria, Australia",f,Balaclava/Ripponlea,t,"St Kilda, VIC, Australia",St Kilda,Port Phillip,St Kilda,VIC,3182,"St Kilda, Australia",AU,Australia,-37.87211941,144.9831294,Apartment,Entire home/apt,5,1,2,3,Real Bed,138,1299,6000,600,4,20,1,365,626
174,552797,https://www.airbnb.com/rooms/552797,Stylish Fitzroy Apartment with Cool Brick Arches,Jess And Kristy,"Melbourne, Victoria, Australia",t,Collingwood/Fitzroy,t,"Fitzroy, VIC, Australia",Fitzroy,Yarra,Fitzroy,VIC,3065,"Fitzroy, Australia",AU,Australia,-37.80453202,144.9779256,Apartment,Entire home/apt,2,1,1,1,Real Bed,109,,2000,131,1,0,2,180,668
175,554087,https://www.airbnb.com/rooms/554087,"Fabulous house, fabulous ST KILDA",Marjolein,"St Kilda West, Victoria, Australia",f,St Kilda,t,"St Kilda West, VIC, Australia",St Kilda,Port Phillip,St Kilda West,VIC,3182,"St Kilda West, Australia",AU,Australia,-37.85742092,144.9747802,House,Private room,2,1,1,1,Real Bed,125,1100,4000,0,2,0,2,14,495
